"Notes"	"Cause of death"	"Cause of death Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Alabama"	"01"	"2020 "	"2020"	66	4921532	1.3
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Arizona"	"04"	"2020 "	"2020"	116	7421401	1.6
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Arkansas"	"05"	"2020 "	"2020"	30	3030522	1.0
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"California"	"06"	"2020 "	"2020"	455	39368078	1.2
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Colorado"	"08"	"2020 "	"2020"	57	5807719	1.0
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Connecticut"	"09"	"2020 "	"2020"	43	3557006	1.2
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Delaware"	"10"	"2020 "	"2020"	12	986809	Unreliable
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Florida"	"12"	"2020 "	"2020"	273	21733312	1.3
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Georgia"	"13"	"2020 "	"2020"	95	10710017	0.9
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Hawaii"	"15"	"2020 "	"2020"	12	1407006	Unreliable
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Idaho"	"16"	"2020 "	"2020"	18	1826913	Unreliable
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Illinois"	"17"	"2020 "	"2020"	177	12587530	1.4
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Indiana"	"18"	"2020 "	"2020"	96	6754953	1.4
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Iowa"	"19"	"2020 "	"2020"	49	3163561	1.5
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Kansas"	"20"	"2020 "	"2020"	36	2913805	1.2
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Kentucky"	"21"	"2020 "	"2020"	89	4477251	2.0
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Louisiana"	"22"	"2020 "	"2020"	35	4645318	0.8
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Maine"	"23"	"2020 "	"2020"	25	1350141	1.9
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Maryland"	"24"	"2020 "	"2020"	114	6055802	1.9
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Massachusetts"	"25"	"2020 "	"2020"	126	6893574	1.8
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Michigan"	"26"	"2020 "	"2020"	110	9966555	1.1
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Minnesota"	"27"	"2020 "	"2020"	57	5657342	1.0
